00023	AMSTERDAM GIN			100ML	008500000889	48	1.99	0.00	1	0.00	39	8500000889	SPIRITS	SPIRITS	GIN	DEL	0.00	Y																				1.4070		0.00														0			39			AbDILOSWV	0	085000008898	2015-10-19				2	9.2500											
00024	REMY VSOP			EACH	008723600214	1	6.99	0.00	1	6.99	0	8723600214	SPIRITS	SPIRITS	COGNAC	UNK	0.00	Y																				4.5800		0.00														0			0			AbDILOSW	0	08723600214	2015-10-19				0	9.2500											
00025	AMSTERDAM VODKA COCONUT			EACH	008500002133	1	1.83	0.00	1	0.00	-1	8500002133	SPIRITS	SPIRITS	VODKA-FLAVORED	UNK	0.00	Y																				1.1000		0.00														0			-1			AbDILOSW	0	08500002133	2015-10-19				0	9.2500											
00026	JACK DANIELS FIRE 100 ML			100ML	008218400153	48	2.29	0.00	1	0.00	370	8218400153	SPIRITS	SPIRITS	WHISKEY-FLAVORED	ATH	0.00	Y																				1.5868		0.00														0			370			AbDILOSW	0	082184001530	2015-10-19				2	9.2500											
00027	TWISTED SHOTZ KILLER BEE			4 PACK	076642700355	18	4.99	0.00	1	4.99	0	6642700355	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	UNK	0.00	Y																				4.6100		0.00														0			0			AbDILOSW	0	76642700355	2015-10-19				0	9.2500											
00028	TAAKA VODKA			EACH	008800400568	1	1.15	0.00	1	1.15	0	8800400568	SPIRITS	SPIRITS	SPIRITS VODKA	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	08800400568	2015-10-19				0	9.2500											
00029	ANGELS ENVY 100 ML			100ML	085004700302	48	9.99	0.00	1	0.00	2	5004700302	SPIRITS	SPIRITS	SPIRITS WHISKEY	ATH	0.00	Y																				7.6800		0.00														0			2			AbDILOSW	0	850047003027	2015-10-19				2	9.2500											
00030	AMSTERDAM MANDO 100 ML			EACH	008500002315	48	1.99	0.00	1	0.00	0	8500002315	SPIRITS	SPIRITS	VODKA-FLAVORED	DEL	0.00	Y																				1.5800		0.00														0			0			AbDILOSW	0	085000023150	2015-10-19				0	9.2500											
00031	HARTLEY BRANDY			100ML	008900058260	48	0.99	0.00	1	0.99	0	8900058260	SPIRITS	SPIRITS	BRANDY	GLA	0.00	Y																				0.7100		0.00														0			0			AbDILOSW	0	089000582600	2015-10-19				2	9.2500											
00032	TWISTED SHOTZ B52			4 PACK	076642700346	18	4.99	0.00	1	4.99	0	6642700346	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	UNK	0.00	Y																				4.6100		0.00														0			0			AbDILOSW	0	76642700346	2015-10-19				0	9.2500											
